"commune","year","precipitation","month"
"COTONOU_AEROPORT","2014","147.8","9"
"KANDI_AEROPORT","2014","18.8","10"
"NATITINGOU_PEPORIYAKOU","2014","67.8","10"
"PARAKOU_AEROPORT","2014","114.4","10"
"SAVE","2014","194.4","10"
"BOHICON","2014","102.9","10"
"COTONOU_AEROPORT","2014","92","10"
"KANDI_AEROPORT","2014","0","11"
"NATITINGOU_PEPORIYAKOU","2014","25","11"
"PARAKOU_AEROPORT","2014","0","11"
"SAVE","2014","18.4","11"
"BOHICON","2014","22.9","11"
"COTONOU_AEROPORT","2014","95.7","11"
"KANDI_AEROPORT","2014","0","12"
"NATITINGOU_PEPORIYAKOU","2014","0","12"
"PARAKOU_AEROPORT","2014","0","12"
"SAVE","2014","0","12"
"BOHICON","2014","0","12"
"COTONOU_AEROPORT","2014","11.6","12"
"KANDI_AEROPORT","2015","0","1"
"NATITINGOU_PEPORIYAKOU","2015","0","1"
"PARAKOU_AEROPORT","2015","3.8","1"
"SAVE","2015","1.1","1"
"BOHICON","2015","3.8","1"
"COTONOU_AEROPORT","2015","0","1"
"KANDI_AEROPORT","2015","4.1","2"
"NATITINGOU_PEPORIYAKOU","2015","38.5","2"
"PARAKOU_AEROPORT","2015","12.4","2"
"SAVE","2015","7.4","2"
"BOHICON","2015","17.9","2"
"COTONOU_AEROPORT","2015","123.4","2"
"KANDI_AEROPORT","2015","1.9","3"
"NATITINGOU_PEPORIYAKOU","2015","4.8","3"
"PARAKOU_AEROPORT","2015","38.1","3"
"SAVE","2015","181","3"
"BOHICON","2015","116.7","3"
"COTONOU_AEROPORT","2015","187.5","3"
"KANDI_AEROPORT","2015","10.5","4"
"NATITINGOU_PEPORIYAKOU","2015","12.5","4"
"PARAKOU_AEROPORT","2015","13.6","4"
"SAVE","2015","52.3","4"
"BOHICON","2015","26","4"
"COTONOU_AEROPORT","2015","80.1","4"
"KANDI_AEROPORT","2015","96.6","5"
"NATITINGOU_PEPORIYAKOU","2015","53.4","5"
"PARAKOU_AEROPORT","2015","112.3","5"
"SAVE","2015","134.9","5"
"BOHICON","2015","88.2","5"
"COTONOU_AEROPORT","2015","69.1","5"
"KANDI_AEROPORT","2015","72.8","6"
"NATITINGOU_PEPORIYAKOU","2015","86.2","6"
"PARAKOU_AEROPORT","2015","67.2","6"
"SAVE","2015","121.2","6"
"BOHICON","2015","63","6"
"COTONOU_AEROPORT","2015","459.6","6"
"KANDI_AEROPORT","2015","219.5","7"
"NATITINGOU_PEPORIYAKOU","2015","235.1","7"
"PARAKOU_AEROPORT","2015","83.6","7"
"SAVE","2015","64.2","7"
"BOHICON","2015","104.9","7"
"COTONOU_AEROPORT","2015","27.1","7"
"KANDI_AEROPORT","2015","344","8"
"NATITINGOU_PEPORIYAKOU","2015","322.6","8"
"PARAKOU_AEROPORT","2015","176.6","8"
"SAVE","2015","79.4","8"
"BOHICON","2015","70.8","8"
"COTONOU_AEROPORT","2015","57.3","8"
"KANDI_AEROPORT","2015","344.2","9"
"NATITINGOU_PEPORIYAKOU","2015","243.3","9"
"PARAKOU_AEROPORT","2015","158.2","9"
"SAVE","2015","90.2","9"
"BOHICON","2015","34.2","9"
"COTONOU_AEROPORT","2015","92.8","9"
"KANDI_AEROPORT","2015","92.6","10"
"NATITINGOU_PEPORIYAKOU","2015","87.8","10"
"PARAKOU_AEROPORT","2015","142.2","10"
"SAVE","2015","104.7","10"
"BOHICON","2015","174.5","10"
"COTONOU_AEROPORT","2015","186.6","10"
"KANDI_AEROPORT","2015","0","11"
"NATITINGOU_PEPORIYAKOU","2015","4.9","11"
"PARAKOU_AEROPORT","2015","0","11"
"SAVE","2015","16.6","11"
"BOHICON","2015","9.6","11"
"COTONOU_AEROPORT","2015","21.1","11"
"KANDI_AEROPORT","2015","0","12"
"NATITINGOU_PEPORIYAKOU","2015","0","12"
"PARAKOU_AEROPORT","2015","0","12"
"SAVE","2015","0","12"
"BOHICON","2015","0","12"
"COTONOU_AEROPORT","2015","0","12"
"KANDI_AEROPORT","2016","0","1"
"NATITINGOU_PEPORIYAKOU","2016","0","1"
"PARAKOU_AEROPORT","2016","0","1"
"SAVE","2016","0","1"
"BOHICON","2016","0","1"
"COTONOU_AEROPORT","2016","1.8","1"
"KANDI_AEROPORT","2016","0","2"
"NATITINGOU_PEPORIYAKOU","2016","0","2"
"PARAKOU_AEROPORT","2016","0","2"
"SAVE","2016","0","2"
"BOHICON","2016","12.2","2"
"COTONOU_AEROPORT","2016","0","2"
"KANDI_AEROPORT","2016","18.5","3"
"NATITINGOU_PEPORIYAKOU","2016","16.4","3"
"PARAKOU_AEROPORT","2016","32.7","3"
"SAVE","2016","72.2","3"
"BOHICON","2016","188.9","3"
"COTONOU_AEROPORT","2016","99.2","3"
"KANDI_AEROPORT","2016","101.2","4"
"NATITINGOU_PEPORIYAKOU","2016","86.8","4"
"PARAKOU_AEROPORT","2016","168","4"
"SAVE","2016","65.1","4"
"BOHICON","2016","186.7","4"
"COTONOU_AEROPORT","2016","82.3","4"
"KANDI_AEROPORT","2016","92","5"
"NATITINGOU_PEPORIYAKOU","2016","94.6","5"
"PARAKOU_AEROPORT","2016","133.7","5"
"SAVE","2016","71.8","5"
"BOHICON","2016","119.5","5"
"COTONOU_AEROPORT","2016","238.9","5"
"KANDI_AEROPORT","2016","123.2","6"
