"commune","year","tmin","month"
"SAVE","2014","23.2","11"
"BOHICON","2014","23.8","11"
"COTONOU_AEROPORT","2014","25.4","11"
"KANDI_AEROPORT","2014","16.9","12"
"NATITINGOU","2014","15.2","12"
"PARAKOU_AEROPORT","2014","20.1","12"
"SAVE","2014","22.2","12"
"BOHICON","2014","23.5","12"
"COTONOU_AEROPORT","2014","24.9","12"
"KANDI_AEROPORT","2015","16.1","1"
"NATITINGOU","2015","15.4","1"
"PARAKOU_AEROPORT","2015","19.4","1"
"SAVE","2015","21","1"
"BOHICON","2015","22.1","1"
"COTONOU_AEROPORT","2015","22.9","1"
"KANDI_AEROPORT","2015","21.9","2"
"NATITINGOU","2015","20.3","2"
"PARAKOU_AEROPORT","2015","23.3","2"
"SAVE","2015","24.5","2"
"BOHICON","2015","25.1","2"
"COTONOU_AEROPORT","2015","26.9","2"
"KANDI_AEROPORT","2015","24.5","3"
"NATITINGOU","2015","21.6","3"
"PARAKOU_AEROPORT","2015","23.9","3"
"SAVE","2015","24.5","3"
"BOHICON","2015","24.9","3"
"COTONOU_AEROPORT","2015","26.8","3"
"KANDI_AEROPORT","2015","26.6","4"
"NATITINGOU","2015","23.4","4"
"PARAKOU_AEROPORT","2015","24","4"
"SAVE","2015","24.9","4"
"BOHICON","2015","25.3","4"
"COTONOU_AEROPORT","2015","27.3","4"
"KANDI_AEROPORT","2015","26.3","5"
"NATITINGOU","2015","24.3","5"
"PARAKOU_AEROPORT","2015","23.6","5"
"SAVE","2015","24","5"
"BOHICON","2015","24.5","5"
"COTONOU_AEROPORT","2015","26.4","5"
"KANDI_AEROPORT","2015","24.5","6"
"NATITINGOU","2015","23","6"
"PARAKOU_AEROPORT","2015","22.6","6"
"SAVE","2015","22.9","6"
"BOHICON","2015","23.3","6"
"COTONOU_AEROPORT","2015","24.7","6"
"KANDI_AEROPORT","2015","23.3","7"
"NATITINGOU","2015","22","7"
"PARAKOU_AEROPORT","2015","22.1","7"
"SAVE","2015","22.6","7"
"BOHICON","2015","22.7","7"
"COTONOU_AEROPORT","2015","24.8","7"
"KANDI_AEROPORT","2015","22.2","8"
"NATITINGOU","2015","21.1","8"
"PARAKOU_AEROPORT","2015","21.9","8"
"SAVE","2015","22.4","8"
"BOHICON","2015","23","8"
"COTONOU_AEROPORT","2015","24.6","8"
"KANDI_AEROPORT","2015","22.5","9"
"NATITINGOU","2015","20.9","9"
"PARAKOU_AEROPORT","2015","21.8","9"
"SAVE","2015","22.4","9"
"BOHICON","2015","23","9"
"COTONOU_AEROPORT","2015","25","9"
"KANDI_AEROPORT","2015","23.5","10"
"NATITINGOU","2015","21.2","10"
"PARAKOU_AEROPORT","2015","22.2","10"
"SAVE","2015","23.2","10"
"BOHICON","2015","23.8","10"
"COTONOU_AEROPORT","2015","25","10"
"KANDI_AEROPORT","2015","19.3","11"
"NATITINGOU","2015","16.4","11"
"PARAKOU_AEROPORT","2015","22","11"
"SAVE","2015","23.6","11"
"BOHICON","2015","24.3","11"
"COTONOU_AEROPORT","2015","25.6","11"
"KANDI_AEROPORT","2015","16.3","12"
"NATITINGOU","2015","13.7","12"
"PARAKOU_AEROPORT","2015","18.3","12"
"SAVE","2015","20.9","12"
"BOHICON","2015","22.1","12"
"COTONOU_AEROPORT","2015","22","12"
"KANDI_AEROPORT","2016","16.8","1"
"NATITINGOU","2016","15","1"
"PARAKOU_AEROPORT","2016","19.4","1"
"SAVE","2016","22.7","1"
"BOHICON","2016","23.8","1"
"COTONOU_AEROPORT","2016","24","1"
