"commune","year","tmin","month"
"COTONOU_AEROPORT","2022","25.6","5"
"KANDI_AEROPORT","2022","23.4","6"
"NATITINGOU","2022","21.4","6"
"PARAKOU_AEROPORT","2022","21.4","6"
"SAVE","2022","22.1","6"
"BOHICON","2022","22.5","6"
"COTONOU_AEROPORT","2022","24.2","6"
"KANDI_AEROPORT","2022","23","7"
"NATITINGOU","2022","21.5","7"
"PARAKOU_AEROPORT","2022","21.8","7"
"SAVE","2022","22.4","7"
"BOHICON","2022","22.6","7"
"COTONOU_AEROPORT","2022","25","7"
"KANDI_AEROPORT","2022","22.5","8"
"NATITINGOU","2022","21.2","8"
"PARAKOU_AEROPORT","2022","20.9","8"
"SAVE","2022","21.4","8"
"BOHICON","2022","21.7","8"
"COTONOU_AEROPORT","2022","23.8","8"
"KANDI_AEROPORT","2022","21.9","9"
"NATITINGOU","2022","20.9","9"
"PARAKOU_AEROPORT","2022","21.1","9"
"SAVE","2022","22.4","9"
"BOHICON","2022","22.6","9"
"COTONOU_AEROPORT","2022","24.5","9"
"KANDI_AEROPORT","2022","21.4","10"
"NATITINGOU","2022","19.8","10"
"PARAKOU_AEROPORT","2022","21.1","10"
"SAVE","2022","22.7","10"
"BOHICON","2022","23","10"
"COTONOU_AEROPORT","2022","24.8","10"
"KANDI_AEROPORT","2022","18.6","11"
"NATITINGOU","2022","16.4","11"
"PARAKOU_AEROPORT","2022","20.7","11"
"SAVE","2022","22.5","11"
"BOHICON","2022","23.9","11"
"COTONOU_AEROPORT","2022","25.4","11"
"KANDI_AEROPORT","2022","16.8","12"
"NATITINGOU","2022","15.2","12"
"PARAKOU_AEROPORT","2022","19.8","12"
"SAVE","2022","21.2","12"
"BOHICON","2022","22.6","12"
"COTONOU_AEROPORT","2022","24.4","12"
