"commune","year","tmax","month"
"BOHICON","2022","30.5","6"
"COTONOU_AEROPORT","2022","29.5","6"
"KANDI_AEROPORT","2022","31.5","7"
"NATITINGOU","2022","29.8","7"
"PARAKOU_AEROPORT","2022","29.9","7"
"SAVE","2022","30.3","7"
"BOHICON","2022","30","7"
"COTONOU_AEROPORT","2022","28.5","7"
"KANDI_AEROPORT","2022","30.1","8"
"NATITINGOU","2022","29.2","8"
"PARAKOU_AEROPORT","2022","28.9","8"
"SAVE","2022","28.8","8"
"BOHICON","2022","28.8","8"
"COTONOU_AEROPORT","2022","27.8","8"
"KANDI_AEROPORT","2022","30.4","9"
"NATITINGOU","2022","29.7","9"
"PARAKOU_AEROPORT","2022","29","9"
"SAVE","2022","30.5","9"
"BOHICON","2022","30","9"
"COTONOU_AEROPORT","2022","28.3","9"
"KANDI_AEROPORT","2022","33.8","10"
"NATITINGOU","2022","33.5","10"
"PARAKOU_AEROPORT","2022","32.1","10"
"SAVE","2022","31.8","10"
"BOHICON","2022","31.8","10"
"COTONOU_AEROPORT","2022","29.9","10"
"KANDI_AEROPORT","2022","35","11"
"NATITINGOU","2022","35.5","11"
"PARAKOU_AEROPORT","2022","35.1","11"
"SAVE","2022","34.3","11"
"BOHICON","2022","33.9","11"
"COTONOU_AEROPORT","2022","31.6","11"
"KANDI_AEROPORT","2022","33.2","12"
"NATITINGOU","2022","34.5","12"
"PARAKOU_AEROPORT","2022","34.2","12"
"SAVE","2022","35.5","12"
"BOHICON","2022","34.8","12"
"COTONOU_AEROPORT","2022","32.1","12"
